configuration,device,solver,mms,order,n,dofs,l2_error,warmup_iterations,steady_iterations,cold_start_seconds,assembly_seconds,setup_seconds,initial_solve_seconds,median_repeated_solve_seconds,initial_minus_median_repeated_seconds,profiled_setup_initial_solve_seconds
P6 CEED AMG + Q1 BoomerAMG,cpu,ceed-amg,bubble-exp,6,8,2401,3.804066697668542e-13,11,11,0.0001310000000103173,0.0004020000000082291,0.003213000000073407,0.0152419999999438,0.01465599999994538,0.0005859999999984211,0.018988000000035754
P6 CEED AMG + Q1 BoomerAMG,cpu,ceed-amg,bubble-exp,6,16,9409,1.57246112087066e-14,13,13,0.0001389999999901192,0.001036999999996624,0.01099800000008599,0.06798300000002655,0.06545599999992646,0.002527000000100088,0.08015700000009929
P6 CEED AMG + Q1 BoomerAMG,cpu,ceed-amg,bubble-exp,6,32,37249,5.583187036254226e-15,17,17,0.0001350000000002183,0.003665000000069085,0.04367999999999483,0.3493690000000242,0.3439130000000432,0.005455999999980976,0.3968490000000883
P6 CEED AMG + Q1 BoomerAMG,cpu,ceed-amg,bubble-exp,6,64,148225,7.260501275599258e-15,18,18,0.0001230000000305154,0.01373599999999442,0.1676739999999199,1.451947000000018,1.450775000000021,0.0011719999999970643,1.633479999999963
P1 Hypre BoomerAMG,cpu,hypre-amg,bubble-exp,1,64,4225,4.108595226048354e-05,17,17,6.500000006326445e-05,0.003164999999967222,1.600000007329072e-05,0.008446999999932814,0.006076000000007298,0.002370999999925516,0.01169300000003659
P1 Hypre BoomerAMG,cpu,hypre-amg,bubble-exp,1,128,16641,1.027184155826721e-05,18,18,6.400000006578921e-05,0.01286200000004101,1.700000007076596e-05,0.03415699999993649,0.02617099999997663,0.007985999999959859,0.04710000000011405
P1 Hypre BoomerAMG,cpu,hypre-amg,bubble-exp,1,256,66049,2.567982480017775e-06,18,18,6.500000006326445e-05,0.05101500000000669,1.699999995707913e-05,0.1363569999999754,0.1052479999999605,0.03110900000001489,0.18745400000000242
P1 Hypre BoomerAMG,cpu,hypre-amg,bubble-exp,1,512,263169,6.419970359632236e-07,18,18,0.0001009999999723732,0.2118560000000116,2.899999992678204e-05,0.5525690000000623,0.4303290000000288,0.12224000000003343,0.764554999999973
