case,hierarchy,device,solver,order,n,dofs,l2_error,warmup_iterations,steady_iterations,cold_start_seconds,assembly_seconds,setup_seconds,warmup_solve_seconds,steady_solve_seconds,solve_total_seconds,assembly_setup_solve_total_seconds
p1 PA Jacobi,n/a,cpu,pa-jacobi,1,512,263169,6.419969994197559e-07,1374,1374,0.000427118,0.1791119460000001,0.09066814899999998,50.40855811799999,50.30913677800001,100.717694896,100.987902109
p1 PA Jacobi,n/a,cuda,pa-jacobi,1,512,263169,6.419969977503302e-07,1374,1374,0.091858341,0.757416467,0.1832512419999999,0.2815053699999999,0.260788067,0.5422934369999999,1.5748194869999999
p6 PA Jacobi,n/a,cpu,pa-jacobi,6,64,148225,5.733207672510289e-16,1907,1907,0.000434209,0.01670429100000001,0.063923922,12.445866303,12.432042963,24.877909266000003,24.958971688000002
p6 PA Jacobi,n/a,cuda,pa-jacobi,6,64,148225,4.795775840360852e-16,1907,1907,0.094261062,0.558500026,0.1624286109999999,0.284791541,0.2667582390000001,0.5515497800000001,1.366739479
p6 CEED AMG,Q6 -> Q3 -> Q1 -> Q3 -> Q6,cpu,ceed-amg,6,64,148225,1.107631518674781e-14,18,18,0.000434289,0.016710738,0.224484373,1.127544368,1.114408141999999,2.241952509999999,2.483581909999999
p6 CEED AMG,Q6 -> Q3 -> Q1 -> Q3 -> Q6,cuda,ceed-amg,6,64,148225,3.705124546274055e-15,101,72,0.094748823,0.430591286,1.292171122,0.243223832,0.1082284959999997,0.3514523279999997,2.168963559
p6 Hypre BoomerAMG,n/a,cpu,hypre-amg,6,64,148225,5.479019979768752e-13,25,25,0.00021922,1.00436824,3.019500000012165e-05,2.036297233,1.81453108,3.850828313,4.855445968
p6 Hypre BoomerAMG,n/a,cuda,hypre-amg,6,64,148225,5.430834978861272e-13,23,23,0.099877176,1.108298669,6.936400000001619e-05,0.227382352,0.05440263999999995,0.28178499199999996,1.490030201
