configuration,dim,device,solver,mms,order,n,dofs,l2_error,warmup_iterations,steady_iterations,cold_start_seconds,assembly_seconds,setup_seconds,initial_solve_seconds,median_repeated_solve_seconds,initial_minus_median_repeated_seconds,profiled_setup_initial_solve_seconds
P6 CEED AMG + Q1 BoomerAMG,3,cpu,ceed-amg,bubble-exp,6,2,2197,2.292266541072983e-09,10,10,0.0005439999999907741,0.0006839999999783686,0.01899199999996881,0.02428199999997105,0.02397300000001223,0.0003089999999588179,0.044501999999909
P6 CEED AMG + Q1 BoomerAMG,3,cpu,ceed-amg,bubble-exp,6,4,15625,1.84498673832261e-11,11,11,0.0001350000000002183,0.003967999999986205,0.1038220000000365,0.2063679999999977,0.208090000000027,-0.0017220000000293112,0.3142930000000206
P6 CEED AMG + Q1 BoomerAMG,3,cpu,ceed-amg,bubble-exp,6,8,117649,1.452393850643575e-13,11,11,0.0001169999999888205,0.02781200000003992,0.7741410000000428,1.648957999999993,1.653834000000018,-0.0048760000000249715,2.451028000000065
P6 CEED AMG + Q1 BoomerAMG,3,cpu,ceed-amg,bubble-exp,6,16,912673,5.521557848752312e-15,12,12,0.0001280000000178916,0.2281130000000076,6.114222999999981,14.17948100000001,14.14205799999996,0.037423000000050166,20.521945000000017
P1 Hypre BoomerAMG,3,cpu,hypre-amg,bubble-exp,1,16,4913,0.0002324368471050806,12,12,9.299999999257125e-05,0.02805000000000746,1.999999994950485e-05,0.01542299999999841,0.007137999999997646,0.008285000000000764,0.043585999999947944
P1 Hypre BoomerAMG,3,cpu,hypre-amg,bubble-exp,1,32,35937,5.810194352574378e-05,15,15,6.999999999379725e-05,0.2221949999999993,2.100000000382352e-05,0.1325089999999705,0.07050700000002053,0.062001999999949986,0.35479499999996744
P1 Hypre BoomerAMG,3,cpu,hypre-amg,bubble-exp,1,64,274625,1.452497867189434e-05,17,17,7.399999998369822e-05,1.819382000000019,2.899999998362546e-05,1.222489999999993,0.6443969999999695,0.5780930000000235,3.0419749999999794
P1 Hypre BoomerAMG,3,cpu,hypre-amg,bubble-exp,1,128,2146689,3.631212143871233e-06,18,18,6.500000000642103e-05,15.12866199999996,2.899999998362546e-05,9.37800599999997,5.503219999999999,3.874785999999972,24.50676199999992
